date,pm25,pm10,o3,no2,so2,co,Ville,Continent,AQI,Catégorie AQI
2023-10-02,39.0,56.0,38.0,19.0,2.0,4.0,Beijing,Asie,200,Nocif
2023-10-03,94.0,58.0,61.0,14.0,1.0,5.0,Beijing,Asie,200,Nocif
2023-10-04,106.0,17.0,27.0,12.0,1.4248120300751879,2.0,Beijing,Asie,200,Nocif
2023-10-05,32.0,23.0,24.0,14.0,1.4248120300751879,1.0,Beijing,Asie,100,Modéré
2023-10-06,35.0,35.0,25.0,15.0,1.4248120300751879,2.0,Beijing,Asie,100,Modéré
2023-10-07,56.0,61.0,34.0,21.0,1.0,4.0,Beijing,Asie,200,Nocif
2023-10-08,104.0,43.0,31.0,16.0,1.4248120300751879,3.0,Beijing,Asie,200,Nocif
2023-10-09,81.0,17.0,31.0,9.0,1.0,2.0,Beijing,Asie,200,Nocif
2023-10-10,31.0,25.0,38.0,15.0,1.4248120300751879,3.0,Beijing,Asie,150,Modéré
2023-10-11,50.0,54.0,51.0,20.0,1.4248120300751879,5.0,Beijing,Asie,150,Modéré
2023-10-12,93.0,91.0,11.0,40.0,1.0,8.0,Beijing,Asie,200,Nocif
2023-10-13,165.0,45.0,31.0,19.0,1.4248120300751879,5.0,Beijing,Asie,300,Très nocif
2023-10-14,97.0,20.0,33.0,17.0,1.4248120300751879,3.0,Beijing,Asie,200,Nocif
2023-10-15,37.0,31.0,29.0,16.0,1.4248120300751879,2.0,Beijing,Asie,150,Modéré
2023-10-16,45.0,38.0,32.0,18.0,1.0,3.0,Beijing,Asie,150,Modéré
2023-10-17,51.0,64.0,38.0,23.0,1.4248120300751879,6.0,Beijing,Asie,200,Nocif
2023-10-18,109.0,27.0,28.0,12.0,6.0,2.0,Beijing,Asie,200,Nocif
2023-10-19,52.0,20.0,25.0,7.0,1.4248120300751879,1.0,Beijing,Asie,150,Modéré
2023-10-20,20.0,20.0,25.0,6.0,1.4248120300751879,1.0,Beijing,Asie,100,Modéré
2023-10-21,27.0,40.0,24.0,18.0,1.4248120300751879,2.0,Beijing,Asie,150,Modéré
2023-10-22,56.0,54.0,24.0,23.0,1.4248120300751879,4.0,Beijing,Asie,200,Nocif
2023-10-23,83.0,108.0,27.0,37.0,2.0,9.0,Beijing,Asie,200,Nocif
2023-10-24,170.0,126.0,57.0,31.0,1.0,10.0,Beijing,Asie,300,Très nocif
2023-10-25,194.0,100.0,42.0,38.0,1.4248120300751879,9.0,Beijing,Asie,300,Très nocif
2023-10-26,164.0,35.0,23.0,18.0,1.0,2.0,Beijing,Asie,300,Très nocif
